epoch,accuracy,loss,val_accuracy,val_loss
0,0.274353951215744,2.6486282348632812,0.3085179924964905,2.4764668941497803
1,0.30393338203430176,2.5027027130126953,0.3135761618614197,2.4482877254486084
2,0.3073868453502655,2.4832162857055664,0.31546100974082947,2.437473773956299
3,0.30917245149612427,2.4730937480926514,0.3161334991455078,2.4316558837890625
4,0.31028297543525696,2.466684579849243,0.3170020878314972,2.427377939224243
5,0.3111637830734253,2.4619696140289307,0.3179900646209717,2.4240469932556152
6,0.31170934438705444,2.458583354949951,0.3184710741043091,2.4219655990600586
7,0.3122223913669586,2.455810785293579,0.31894171237945557,2.4198787212371826
8,0.31273216009140015,2.453364372253418,0.31888002157211304,2.418581247329712
9,0.31299272179603577,2.4514048099517822,0.3193327486515045,2.417919158935547
10,0.31327927112579346,2.449594259262085,0.3191124498844147,2.41678524017334
11,0.31353235244750977,2.448042392730713,0.3198351263999939,2.4155960083007812
12,0.31369298696517944,2.44679856300354,0.3197174668312073,2.4154951572418213
13,0.3138675093650818,2.4456653594970703,0.3200058341026306,2.4151222705841064
14,0.3140774071216583,2.4445207118988037,0.3192918002605438,2.414501428604126
15,0.31415611505508423,2.4437060356140137,0.31956231594085693,2.413888454437256
16,0.3143172562122345,2.442894220352173,0.3199816048145294,2.413142442703247
17,0.314506858587265,2.4420697689056396,0.3200329542160034,2.4132466316223145
18,0.3146328032016754,2.4412059783935547,0.319957971572876,2.4125988483428955
19,0.31472352147102356,2.4408559799194336,0.32011252641677856,2.4123430252075195
